Abruzzo;54.07
Abruzzo;55.17
Abruzzo;55.84
Abruzzo;56.61
Abruzzo;57.14
Basilicata;54.50
Basilicata;55.49
Basilicata;58.61
Basilicata;59.37
Basilicata;63.88
Calabria;52.10
Calabria;53.20
Calabria;53.73
Calabria;61.06
Calabria;63.60
Campania;51.74
Campania;51.97
Campania;57.23
Campania;61.52
Campania;67.24
Emilia-Romagna;50.48
Emilia-Romagna;55.18
Emilia-Romagna;59.08
Emilia-Romagna;60.37
Emilia-Romagna;60.50
Friuli-Venezia Giulia;56.50
Friuli-Venezia Giulia;61.63
Friuli-Venezia Giulia;62.23
Friuli-Venezia Giulia;63.27
Friuli-Venezia Giulia;70.12
Lazio;57.99
Lazio;59.15
Lazio;59.52
Lazio;62.35
Lazio;71.88
Liguria;49.51
Liguria;56.07
Liguria;57.35
Liguria;58.62
Liguria;60.19
Lombardia;61.38
Lombardia;61.76
Lombardia;63.25
Lombardia;64.39
Lombardia;66.60
Marche;55.11
Marche;55.96
Marche;56.07
Marche;58.75
Marche;59.52
Molise;44.99
Molise;50.10
Molise;50.61
Molise;55.37
Molise;58.70
Piemonte;52.88
Piemonte;54.00
Piemonte;55.16
Piemonte;57.16
Piemonte;59.31
Puglia;50.27
Puglia;53.21
Puglia;56.18
Puglia;56.99
Puglia;60.92
Regione;Percentuale diffusione PC
Sardegna;53.03
Sardegna;54.50
Sardegna;59.09
Sardegna;63.26
Sardegna;66.29
Sicilia;48.58
Sicilia;53.47
Sicilia;57.05
Sicilia;63.87
Sicilia;66.08
Toscana;50.62
Toscana;56.18
Toscana;57.27
Toscana;59.40
Toscana;62.02
Trentino-Alto Adige;65.83
Trentino-Alto Adige;66.74
Trentino-Alto Adige;68.94
Trentino-Alto Adige;69.07
Trentino-Alto Adige;71.97
Umbria;52.07
Umbria;52.89
Umbria;54.04
Umbria;58.14
Umbria;63.09
Valle d'Aosta;48.78
Valle d'Aosta;52.93
Valle d'Aosta;53.26
Valle d'Aosta;56.60
Valle d'Aosta;68.40
Veneto;49.86
Veneto;57.45
Veneto;60.55
Veneto;61.57
Veneto;66.60
